gene_symbol,Hox_3,Hox_5,Hox_2,Hox_1,Hox_4,No_hox_3,No_hox_2,No_hox_5,No_hox_1,No_hox_4
Phf7,5.833356327219819,5.858050376414041,5.8498291953547294,5.923766905326822,5.827317180961999,6.021647592613389,5.918833795825113,6.072535838880918,5.968070112295935,6.007889057712242
tup,5.008489764765943,4.917834334885436,5.13277743671078,5.248571198742072,5.060351866168257,5.239420746899425,5.42975695031015,5.2844212537791195,5.150341399813524,5.5249671999135135
Tes,5.112011882444953,5.069735695379275,5.182417224388748,5.278447999747132,5.257224583168954,5.257507505958966,5.406692639528922,5.336349178855766,5.43657306464525,5.3939512162558785
nub,7.438393205801343,7.417656331529301,7.4348022025417,7.478656736672634,7.447144181486688,7.490290053285269,7.537265281506608,7.540516060663697,7.504596818490538,7.527240245940811
l(1)sc,7.957455157948703,7.900858498746255,7.970009374313096,7.9435442208435525,8.013629870018981,8.121709339425012,8.068000136406958,8.06993954279845,8.073200399264204,8.083593372597655
ena,7.628928479084154,7.590392849513876,7.610553839269471,7.604424565343411,7.644369316762383,7.657997236380201,7.660516465367555,7.661337475942226,7.699777121080991,7.666331001875267
ovo,6.221765796933134,6.202125781952827,6.23873866290362,6.118177326213989,6.283275776885418,6.452416314414746,6.360039113266198,6.382614578945479,6.554718718486942,6.394111304548609
crc,8.573880272390666,8.578037834197625,8.572312359909198,8.573406713043143,8.571047379581788,8.586605382407356,8.623748597447921,8.622506412627729,8.620806125294473,8.612508806345142
roq,5.843548102213768,5.777698108154704,5.791865571681951,5.79545610868016,5.789560604543862,5.892626488754806,6.05377577699857,6.022850727930395,5.976897179516265,5.964887266256033
tef,6.732723349046519,6.706296773710748,6.699264762566754,6.666067335118827,6.70821060042624,6.746466656321921,6.870172778054985,6.838555235573743,6.813904516308618,6.792318419048341
ap,4.253956122554224,4.372021646063687,4.2729107927443035,4.418244403857215,4.359008579393448,4.46633429752262,4.686561294881016,4.613853795051976,4.567181952925934,4.4805836829414085
Orc1,7.009455494831545,6.998760985779662,7.005067788502132,7.039489348572274,7.031080418583551,7.08893971420803,7.164324046878212,7.088169653522229,7.091269939676063,7.072004342301875
ebi,5.908961333474751,5.924769406793686,5.917082606910447,5.926849841367629,5.915906379008813,6.074487986604655,6.2254694488717375,6.123713860631213,6.007192390774769,6.024585031407466
cwo,4.021898990976817,4.197998781860272,3.9764763467489206,3.9131202954163,3.7943480676358012,4.505113014728944,4.347380586192782,4.213333212527561,4.602535506284681,4.441040559857416
Zw10,6.522470297121987,6.532343761723734,6.502637465261854,6.576964842122704,6.550534741564119,6.63537924978221,6.682645561841896,6.630585370972878,6.58865501082896,6.665510715736091
E5,2.079020956780999,1.909581628118063,1.9096042140629774,2.3257020761628944,2.317198823088568,2.901829043629603,2.8095149878847305,2.585128980548386,2.5745631204293415,2.987016041052898
