gene_names,Hox_5,Hox_3,Hox_1,Hox_2,Hox_4,No_hox_2,No_hox_3,No_hox_1,No_hox_4,No_hox_5
dmrt99B,4.3276447861317955,4.064396499422332,4.1345647363778655,4.158371201306238,4.101047198109774,5.3606826274307515,5.195511358521115,5.120695526714851,5.357378803798505,4.637236025480272
Cox10,5.9336948265395995,5.787610369715605,5.6973225032075865,5.687473540880455,5.774709996836652,6.274150760577362,6.179167290870807,6.350240676372582,6.383243136610783,6.085809610723617
Sox21b,6.779478010392915,6.680978233099474,6.786362514487046,6.799984657988738,6.77350090487657,7.07373286294811,7.027969764011949,6.935548247079216,6.981040602837156,7.083173051435486
D,6.103292479138192,5.913419431201898,6.001985452335946,6.034244707482606,5.96049748102249,6.433502842659733,6.331675684842982,6.319164976072174,6.350269350776493,6.390864625414583
scro,5.613983217248416,5.633732830658517,5.487811984115924,5.56782647976518,5.316635899984644,6.623708982895837,6.587076829262612,6.701404418732123,6.452843982662041,6.238896227240794
TC015977,7.107643091088446,7.084271640466116,7.120632159305519,7.096119014951665,7.110609318153662,7.316191695529146,7.328441237989174,7.303792911521094,7.258026353058607,7.239924467784199
TC010699,5.910627346368939,5.909639419261221,5.924162218903085,5.903207043129014,5.880182409526198,6.051478195999809,6.105942510610681,6.074542794860375,6.053192504683511,6.01068313867531
Hesr,7.770427740749991,7.660438735658831,7.712233906194495,7.624123644616134,7.632962291705651,8.135444417180207,8.072163852966826,8.110738371656609,8.20088738899447,8.15741421210609
TC006580,8.02825655032186,7.956353259360799,8.021032814261037,7.908492145890698,8.015311207205267,8.366258798784695,8.409053256581235,8.389592026250154,8.404112259070656,8.379066517569687
bi,8.469941156215954,8.327813679094092,8.29562329456795,8.19975466501483,8.36167709428384,8.876801819625538,8.853334504288183,8.760381196517661,8.871999547874895,8.703322874426837
hbn,3.8831734183936315,3.954720030791506,3.759015874839787,3.680844280205733,3.9900028297653303,4.7278014019038075,4.760926847614757,4.6224907146507785,4.892202132897871,4.5689346597182565
pros,8.513991289097484,8.517843563900513,8.553844641569999,8.508368900870687,8.537475385568268,8.751221160753435,8.667659771922388,8.661921815324273,8.682861559058466,8.717186277781858
tll,3.7852544992507284,3.779770714996182,3.528103707058761,3.3633395837579125,3.4747226233491384,5.124270540032225,5.143847116298017,5.080667016693521,4.755163010495403,5.244970450320916
