gene_symbol,Hox_6,Hox_3,Hox_1,Hox_4,Hox_2,Hox_10,Hox_5,Hox_9,Hox_7,Hox_8,No_hox_4,No_hox_2,No_hox_6,No_hox_10,No_hox_9,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_3
hb,6.494168846322522,6.579705144149587,6.587038981036941,6.537862261783684,6.608670784172578,6.544768606244446,6.571935938120934,6.539472048189909,6.626714287098169,6.584454260773683,6.298319057850076,6.384922198262861,6.222021288219255,6.35578090929518,6.480302129928335,6.293808136329277,6.279018499669991,6.091069660788403,6.301431875806029,6.352994901970617
mirr,6.764235854970233,6.6757548186071185,6.698244197209392,6.723987651330773,6.731623608343567,6.6286958095947766,6.622751904540645,6.666306920811897,6.578300184660789,6.730436141155916,6.116365312224277,6.49159435023193,6.1460170193230255,6.290556113361359,6.496363799072,6.35263416666329,6.190093243187088,6.071845267937633,6.383275757021999,6.41243562448893
E(spl)m8-HLH,7.161896614067437,7.205226842158572,7.154715243931758,7.167527550167643,7.1594861259721,7.2082668028585966,7.112384729930233,7.134469546730327,7.2077776753135705,7.1954348074678185,6.819868455980208,6.888529937608283,7.1237078964336575,7.092211614813643,6.827840066793727,7.00186468745055,6.906970000445225,6.831457750328115,6.879937290665185,6.9144872544164375
Stat92E,5.314217770405054,5.380547615780504,5.41599489621919,5.510008513293797,5.324736015552202,5.41382496834003,5.21387216153058,5.324240949191655,5.413652797531735,5.4686123980948445,4.673729890046512,4.874881440141748,5.248906537044876,4.998331088897216,5.176100801717563,4.947332352938074,5.017817974715948,5.0486866218540145,5.082676399451063,4.835012685721401
HLH54F,4.197489121124633,4.373702999614915,4.396867268013439,4.539772113951324,3.1018499410101565,4.152971461370242,4.354754489313109,4.061369686817033,4.465762006608851,4.481059692349916,1.007697364723909,1.506828119701884,2.777676447333352,1.495758853188519,1.8373286075716813,1.820951794292428,2.274767327244902,0.9868613594934029,1.0015996592462562,1.014619039205257
E(spl)m5-HLH,6.760970589610171,6.803523386912727,6.835323447395938,6.755503010657672,6.712269174298672,6.808261755394554,6.825290432346479,6.85625589030304,6.842593708018139,6.7641606781378165,5.619702125027001,6.008030708337799,6.468447003107508,6.29376044753557,6.143363700183395,6.157347431103412,6.168398302473019,6.2999500136469075,6.110596401999307,5.93763425696976
E(spl)m3-HLH,5.703081188075505,5.641037110490245,5.517593824933086,5.6395109097782345,5.496405852571668,5.53196606869041,5.596140867746932,5.636800021848327,5.675790770506623,5.569908713862133,4.280972568885019,5.0469376048257315,5.055247307044186,5.009948646494457,5.09321037595147,5.018301381046031,4.841422988752405,4.703947605121297,4.52503961867497,4.90254321044763
CG12744,6.1618801204433895,6.0948663138999555,6.069213413611308,6.10766515966799,5.998489673318665,6.058817048720206,6.058510076303177,6.086191619926016,6.105874951312661,6.052092716837401,5.1937702730622375,5.550650162175798,5.723531799134701,5.608825662618908,5.510957449988047,5.630752213088579,5.707650190000896,5.514926542531612,5.400409519469438,5.481182462308488
en,5.676350331225922,5.741362359678515,5.590757331295436,5.560278783572001,5.620254650228489,5.687499536152591,5.671063925703893,5.676665571958614,5.567911605758131,5.518239753896761,4.865279422198213,4.939780791474963,5.076390469328735,5.341201118031211,5.10395528684483,5.029654895011557,5.017817974715948,5.0486866218540145,4.920623471166426,4.5819750605153216
fd96Cb,5.738252383623396,5.862251305837456,5.626456981107208,5.6538194529008745,5.7830620273890245,5.749755536501043,5.932478682661018,5.782269782561736,5.9185086828276035,5.673792343255384,4.96718112995996,4.562624549774293,5.147057899186183,5.508794027034322,4.863477600238029,4.649710491525541,4.556369395621647,4.819026467500387,4.467420556466667,4.651485202939243
retn,3.948042143432109,4.102104494549915,4.0353805831183,4.205095289870328,3.9960819397524916,4.077988283454714,3.999310645669472,3.854681042651675,4.152446591057455,3.88538753874212,3.1617008553259836,2.711350161799897,2.8767992664779416,3.6658651450883792,3.172994140366985,3.2917053032108896,2.9151354632590842,2.547850640734723,3.223539766186175,2.922253850745517
ato,4.0612496229503225,4.395094363920882,4.656385364023458,3.983520084590645,4.391852704491075,4.8058545978470795,4.391464565365568,4.512451205822513,4.750565958129987,4.481059692349916,2.7023197710778266,2.445575373462668,2.5439725605296686,4.0325320838737175,2.7133234169637257,3.7476643773807896,2.0770041590887383,2.547850640734723,2.9028675991539674,1.507764984066739
Hand,3.914805627007573,3.6115535339918354,2.7659141345304286,3.8572441881394552,4.480200105921831,3.1281539585441713,3.34506581894422,3.4416512838463347,3.8295314567762815,3.88538753874212,1.499304321732332,1.506828119701884,2.2384382600376957,1.8235944376711701,1.5084736720936176,2.2648374625611907,1.8302416906101695,1.7997942190313938,2.263133842373915,1.8365634714120624
luna,6.61623517029489,6.5717353796234566,6.523486528881039,6.494161991866352,6.47643713584334,6.492202578750626,6.494043805586197,6.597923617795499,6.629808565450219,6.561164535277562,6.335991257805044,6.307977606821152,6.267543282183821,6.206917038103783,6.28743762645801,6.271232314728632,6.2591879259842,6.258946995117033,6.423214831431496,6.22581636140186
mid,5.239205068117855,5.289638247087621,5.104909690789503,5.108900357343544,5.124215680193729,5.194347573456984,5.181685827006088,5.196945453737369,5.196167781730396,5.104371021186385,4.781402068215445,4.730891844009396,4.814852522896168,4.472416153685628,4.821844356836471,4.488877969330827,4.755129155212735,4.641028084870773,4.771862634041465,4.732084672550234
inv,4.857089946805609,4.941270095726976,4.788728458134084,4.8598099252601745,4.711451511051555,4.882731867696372,4.89151217307698,4.9184321188717135,4.860614504707884,4.842781261485486,4.5890410636626005,4.562624549774293,4.440139020637037,4.584520551562511,4.339592351057033,4.449331029262042,4.353958529065837,4.4243344520872485,4.427076651046546,4.44733432834833
odd,4.79365440651717,5.092645072585752,4.8261604780859235,4.949912033040303,4.716599737638531,4.989944679309573,4.828347818310093,4.862684147520758,5.159885261896661,5.118224509504583,4.231671086989257,4.215610570817949,4.379016161266505,4.1753153567787,4.048601252595447,3.7875430175369464,3.9436922771974734,4.272178811406087,3.7458080112899,4.291702612211799
